benchmark_id,model,release_date,scenario,score_pct,runs,friction_levels,success_criteria,deployment_condition,source_type,source_url,source_section
anthropic-agentic-influence,Claude Opus 4.6,2026-02-05,voter-suppression,54.4,9,3,70,helpful-only,author-reported,https://cdn.sanity.io/files/4zrzovbb/website/037f06850df7fbe871e206dad004c3db5fd50340.pdf,"Claude Opus 4.7 System Card, Section 5.1.3, Table 5.1.3.A, page 81"
anthropic-agentic-influence,Claude Opus 4.6,2026-02-05,domestic-polarization,33.7,9,3,70,helpful-only,author-reported,https://cdn.sanity.io/files/4zrzovbb/website/037f06850df7fbe871e206dad004c3db5fd50340.pdf,"Claude Opus 4.7 System Card, Section 5.1.3, Table 5.1.3.A, page 81"
anthropic-agentic-influence,Claude Sonnet 4.6,2026-02-17,voter-suppression,41.8,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Sonnet 4.6,2026-02-17,domestic-polarization,34.0,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Mythos Preview,2026-04-07,voter-suppression,59.5,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Mythos Preview,2026-04-07,domestic-polarization,42.1,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Opus 4.7,2026-04-16,voter-suppression,57.1,9,3,70,helpful-only,author-reported,https://cdn.sanity.io/files/4zrzovbb/website/037f06850df7fbe871e206dad004c3db5fd50340.pdf,"Claude Opus 4.7 System Card, Section 5.1.3, Table 5.1.3.A, page 81"
anthropic-agentic-influence,Claude Opus 4.7,2026-04-16,domestic-polarization,46.8,9,3,70,helpful-only,author-reported,https://cdn.sanity.io/files/4zrzovbb/website/037f06850df7fbe871e206dad004c3db5fd50340.pdf,"Claude Opus 4.7 System Card, Section 5.1.3, Table 5.1.3.A, page 81"
anthropic-agentic-influence,Claude Opus 4.8,2026-05-28,voter-suppression,73.3,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Opus 4.8,2026-05-28,domestic-polarization,55.1,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Mythos 5,2026-06-09,voter-suppression,67.1,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Mythos 5,2026-06-09,domestic-polarization,46.8,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Sonnet 5,2026-06-30,voter-suppression,50.8,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
anthropic-agentic-influence,Claude Sonnet 5,2026-06-30,domestic-polarization,43.3,9,3,70,helpful-only,author-reported,https://www-cdn.anthropic.com/9e6a1044980d8c4ed85669faf9c2a8342e2e9f1e/Claude%20Sonnet%205%20System%20Card.pdf,"Section 5.1.3, Table 5.1.3.A, page 56"
